show_id,type,title,release_year,rating,duration_value,duration_type,date_added,date_added_monthCode
s1,Movie,Dick Johnson Is Dead,2020,PG-13,90,min,2021-09-25,Sep
s2,TV Show,Blood & Water,2021,TV-MA,2,Seasons,2021-09-24,Sep
s3,TV Show,Ganglands,2021,TV-MA,1,Season,2021-09-24,Sep
s4,TV Show,Jailbirds New Orleans,2021,TV-MA,1,Season,2021-09-24,Sep
s5,TV Show,Kota Factory,2021,TV-MA,2,Seasons,2021-09-24,Sep
s6,TV Show,Midnight Mass,2021,TV-MA,1,Season,2021-09-24,Sep
s7,Movie,My Little Pony: A New Generation,2021,PG,91,min,2021-09-24,Sep
s8,Movie,Sankofa,1993,TV-MA,125,min,2021-09-24,Sep
s9,TV Show,The Great British Baking Show,2021,TV-14,9,Seasons,2021-09-24,Sep
s10,Movie,The Starling,2021,PG-13,104,min,2021-09-24,Sep
s11,TV Show,"Vendetta: Truth, Lies and The Mafia",2021,TV-MA,1,Season,2021-09-24,Sep
s12,TV Show,Bangkok Breaking,2021,TV-MA,1,Season,2021-09-23,Sep
s13,Movie,Je Suis Karl,2021,TV-MA,127,min,2021-09-23,Sep
s14,Movie,Confessions of an Invisible Girl,2021,TV-PG,91,min,2021-09-22,Sep
s15,TV Show,Crime Stories: India Detectives,2021,TV-MA,1,Season,2021-09-22,Sep
s16,TV Show,Dear White People,2021,TV-MA,4,Seasons,2021-09-22,Sep
s17,Movie,Europe's Most Dangerous Man: Otto Skorzeny in Spain,2020,TV-MA,67,min,2021-09-22,Sep
s18,TV Show,Falsa identidad,2020,TV-MA,2,Seasons,2021-09-22,Sep
s19,Movie,Intrusion,2021,TV-14,94,min,2021-09-22,Sep
s20,TV Show,Jaguar,2021,TV-MA,1,Season,2021-09-22,Sep
s21,TV Show,Monsters Inside: The 24 Faces of Billy Milligan,2021,TV-14,1,Season,2021-09-22,Sep
s22,TV Show,Resurrection: Ertugrul,2018,TV-14,5,Seasons,2021-09-22,Sep
s23,Movie,Avvai Shanmughi,1996,TV-PG,161,min,2021-09-21,Sep
s24,Movie,Go! Go! Cory Carson: Chrissy Takes the Wheel,2021,TV-Y,61,min,2021-09-21,Sep
s25,Movie,Jeans,1998,TV-14,166,min,2021-09-21,Sep
s26,TV Show,Love on the Spectrum,2021,TV-14,2,Seasons,2021-09-21,Sep
s27,Movie,Minsara Kanavu,1997,TV-PG,147,min,2021-09-21,Sep
s28,Movie,Grown Ups,2010,PG-13,103,min,2021-09-20,Sep
s29,Movie,Dark Skies,2013,PG-13,97,min,2021-09-19,Sep
s30,Movie,Paranoia,2013,PG-13,106,min,2021-09-19,Sep
s31,Movie,Ankahi Kahaniya,2021,TV-14,111,min,2021-09-17,Sep
s32,TV Show,Chicago Party Aunt,2021,TV-MA,1,Season,2021-09-17,Sep
s33,TV Show,Sex Education,2020,TV-MA,3,Seasons,2021-09-17,Sep
s34,TV Show,Squid Game,2021,TV-MA,1,Season,2021-09-17,Sep
s35,TV Show,Tayo and Little Wizards,2020,TV-Y7,1,Season,2021-09-17,Sep
s36,Movie,The Father Who Moves Mountains,2021,TV-MA,110,min,2021-09-17,Sep
s37,Movie,The Stronghold,2021,TV-MA,105,min,2021-09-17,Sep
s38,TV Show,Angry Birds,2018,TV-Y7,1,Season,2021-09-16,Sep
s39,Movie,Birth of the Dragon,2017,PG-13,96,min,2021-09-16,Sep
s40,TV Show,Chhota Bheem,2021,TV-Y7,3,Seasons,2021-09-16,Sep
