show_id,type,title,date_added,release_year,rating,duration_value,duration_type,date_added,date_added_monthCode
s1,Movie,Dick Johnson Is Dead,"September 25, 2021",2020,PG-13,90,min,Sep-25-2021,Sep
s2,TV Show,Blood & Water,"September 24, 2021",2021,TV-MA,2,Seasons,Sep-24-2021,Sep
s3,TV Show,Ganglands,"September 24, 2021",2021,TV-MA,1,Season,Sep-24-2021,Sep
s4,TV Show,Jailbirds New Orleans,"September 24, 2021",2021,TV-MA,1,Season,Sep-24-2021,Sep
s5,TV Show,Kota Factory,"September 24, 2021",2021,TV-MA,2,Seasons,Sep-24-2021,Sep
s6,TV Show,Midnight Mass,"September 24, 2021",2021,TV-MA,1,Season,Sep-24-2021,Sep
s7,Movie,My Little Pony: A New Generation,"September 24, 2021",2021,PG,91,min,Sep-24-2021,Sep
s8,Movie,Sankofa,"September 24, 2021",1993,TV-MA,125,min,Sep-24-2021,Sep
s9,TV Show,The Great British Baking Show,"September 24, 2021",2021,TV-14,9,Seasons,Sep-24-2021,Sep
s10,Movie,The Starling,"September 24, 2021",2021,PG-13,104,min,Sep-24-2021,Sep
s11,TV Show,"Vendetta: Truth, Lies and The Mafia","September 24, 2021",2021,TV-MA,1,Season,Sep-24-2021,Sep
s12,TV Show,Bangkok Breaking,"September 23, 2021",2021,TV-MA,1,Season,Sep-23-2021,Sep
s13,Movie,Je Suis Karl,"September 23, 2021",2021,TV-MA,127,min,Sep-23-2021,Sep
s14,Movie,Confessions of an Invisible Girl,"September 22, 2021",2021,TV-PG,91,min,Sep-22-2021,Sep
s15,TV Show,Crime Stories: India Detectives,"September 22, 2021",2021,TV-MA,1,Season,Sep-22-2021,Sep
s16,TV Show,Dear White People,"September 22, 2021",2021,TV-MA,4,Seasons,Sep-22-2021,Sep
s17,Movie,Europe's Most Dangerous Man: Otto Skorzeny in Spain,"September 22, 2021",2020,TV-MA,67,min,Sep-22-2021,Sep
s18,TV Show,Falsa identidad,"September 22, 2021",2020,TV-MA,2,Seasons,Sep-22-2021,Sep
s19,Movie,Intrusion,"September 22, 2021",2021,TV-14,94,min,Sep-22-2021,Sep
s20,TV Show,Jaguar,"September 22, 2021",2021,TV-MA,1,Season,Sep-22-2021,Sep
s21,TV Show,Monsters Inside: The 24 Faces of Billy Milligan,"September 22, 2021",2021,TV-14,1,Season,Sep-22-2021,Sep
s22,TV Show,Resurrection: Ertugrul,"September 22, 2021",2018,TV-14,5,Seasons,Sep-22-2021,Sep
s23,Movie,Avvai Shanmughi,"September 21, 2021",1996,TV-PG,161,min,Sep-21-2021,Sep
s24,Movie,Go! Go! Cory Carson: Chrissy Takes the Wheel,"September 21, 2021",2021,TV-Y,61,min,Sep-21-2021,Sep
s25,Movie,Jeans,"September 21, 2021",1998,TV-14,166,min,Sep-21-2021,Sep
s26,TV Show,Love on the Spectrum,"September 21, 2021",2021,TV-14,2,Seasons,Sep-21-2021,Sep
s27,Movie,Minsara Kanavu,"September 21, 2021",1997,TV-PG,147,min,Sep-21-2021,Sep
s28,Movie,Grown Ups,"September 20, 2021",2010,PG-13,103,min,Sep-20-2021,Sep
s29,Movie,Dark Skies,"September 19, 2021",2013,PG-13,97,min,Sep-19-2021,Sep
s30,Movie,Paranoia,"September 19, 2021",2013,PG-13,106,min,Sep-19-2021,Sep
s31,Movie,Ankahi Kahaniya,"September 17, 2021",2021,TV-14,111,min,Sep-17-2021,Sep
s32,TV Show,Chicago Party Aunt,"September 17, 2021",2021,TV-MA,1,Season,Sep-17-2021,Sep
s33,TV Show,Sex Education,"September 17, 2021",2020,TV-MA,3,Seasons,Sep-17-2021,Sep
s34,TV Show,Squid Game,"September 17, 2021",2021,TV-MA,1,Season,Sep-17-2021,Sep
s35,TV Show,Tayo and Little Wizards,"September 17, 2021",2020,TV-Y7,1,Season,Sep-17-2021,Sep
s36,Movie,The Father Who Moves Mountains,"September 17, 2021",2021,TV-MA,110,min,Sep-17-2021,Sep
s37,Movie,The Stronghold,"September 17, 2021",2021,TV-MA,105,min,Sep-17-2021,Sep
s38,TV Show,Angry Birds,"September 16, 2021",2018,TV-Y7,1,Season,Sep-16-2021,Sep
s39,Movie,Birth of the Dragon,"September 16, 2021",2017,PG-13,96,min,Sep-16-2021,Sep
s40,TV Show,Chhota Bheem,"September 16, 2021",2021,TV-Y7,3,Seasons,Sep-16-2021,Sep
s41,TV Show,He-Man and the Masters of the Universe,"September 16, 2021",2021,TV-Y7,1,Season,Sep-16-2021,Sep
s42,Movie,Jaws,"September 16, 2021",1975,PG,124,min,Sep-16-2021,Sep
s43,Movie,Jaws 2,"September 16, 2021",1978,PG,116,min,Sep-16-2021,Sep
s44,Movie,Jaws 3,"September 16, 2021",1983,PG,98,min,Sep-16-2021,Sep
s45,Movie,Jaws: The Revenge,"September 16, 2021",1987,PG-13,91,min,Sep-16-2021,Sep
s46,Movie,My Heroes Were Cowboys,"September 16, 2021",2021,PG,23,min,Sep-16-2021,Sep
s47,Movie,Safe House,"September 16, 2021",2012,R,115,min,Sep-16-2021,Sep
s48,TV Show,The Smart Money Woman,"September 16, 2021",2020,TV-MA,1,Season,Sep-16-2021,Sep
s49,Movie,Training Day,"September 16, 2021",2001,R,122,min,Sep-16-2021,Sep
s50,TV Show,Castle and Castle,"September 15, 2021",2021,TV-MA,2,Seasons,Sep-15-2021,Sep
s51,TV Show,Dharmakshetra,"September 15, 2021",2014,TV-PG,1,Season,Sep-15-2021,Sep
s52,Movie,InuYasha the Movie 2: The Castle Beyond the Looking Glass,"September 15, 2021",2002,TV-14,99,min,Sep-15-2021,Sep
s53,Movie,InuYasha the Movie 3: Swords of an Honorable Ruler,"September 15, 2021",2003,TV-14,99,min,Sep-15-2021,Sep
s54,Movie,InuYasha the Movie 4: Fire on the Mystic Island,"September 15, 2021",2004,TV-PG,88,min,Sep-15-2021,Sep
s55,Movie,InuYasha the Movie: Affections Touching Across Time,"September 15, 2021",2001,TV-PG,100,min,Sep-15-2021,Sep
s56,TV Show,Nailed It,"September 15, 2021",2021,TV-PG,6,Seasons,Sep-15-2021,Sep
s57,Movie,Naruto Shippuden the Movie: Blood Prison,"September 15, 2021",2011,TV-14,102,min,Sep-15-2021,Sep
s58,Movie,Naruto Shippûden the Movie: Bonds,"September 15, 2021",2008,TV-PG,93,min,Sep-15-2021,Sep
s59,Movie,Naruto Shippûden the Movie: The Will of Fire,"September 15, 2021",2009,TV-PG,96,min,Sep-15-2021,Sep
s60,Movie,Naruto Shippuden: The Movie,"September 15, 2021",2007,TV-PG,95,min,Sep-15-2021,Sep
s61,Movie,Naruto Shippuden: The Movie: The Lost Tower,"September 15, 2021",2010,TV-14,85,min,Sep-15-2021,Sep
s62,Movie,Naruto the Movie 2: Legend of the Stone of Gelel,"September 15, 2021",2005,TV-PG,97,min,Sep-15-2021,Sep
s63,Movie,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,"September 15, 2021",2006,TV-PG,95,min,Sep-15-2021,Sep
s64,Movie,Naruto the Movie: Ninja Clash in the Land of Snow,"September 15, 2021",2004,TV-PG,83,min,Sep-15-2021,Sep
s65,Movie,Nightbooks,"September 15, 2021",2021,TV-PG,103,min,Sep-15-2021,Sep
s66,TV Show,Numberblocks,"September 15, 2021",2021,TV-Y,6,Seasons,Sep-15-2021,Sep
s67,TV Show,Raja Rasoi Aur Anya Kahaniyan,"September 15, 2021",2014,TV-G,1,Season,Sep-15-2021,Sep
s68,TV Show,Saved by the Bell,"September 15, 2021",1994,TV-PG,9,Seasons,Sep-15-2021,Sep
s69,Movie,Schumacher,"September 15, 2021",2021,TV-14,113,min,Sep-15-2021,Sep
s70,TV Show,Stories by Rabindranath Tagore,"September 15, 2021",2015,TV-PG,1,Season,Sep-15-2021,Sep
s71,TV Show,Too Hot To Handle: Latino,"September 15, 2021",2021,TV-MA,1,Season,Sep-15-2021,Sep
s72,Movie,A StoryBots Space Adventure,"September 14, 2021",2021,TV-Y,13,min,Sep-14-2021,Sep
s73,TV Show,Jack Whitehall: Travels with My Father,"September 14, 2021",2021,TV-MA,5,Seasons,Sep-14-2021,Sep
s74,Movie,King of Boys,"September 14, 2021",2018,TV-MA,182,min,Sep-14-2021,Sep
s75,TV Show,The World's Most Amazing Vacation Rentals,"September 14, 2021",2021,TV-PG,2,Seasons,Sep-14-2021,Sep
s76,Movie,You vs. Wild: Out Cold,"September 14, 2021",2021,TV-G,106,min,Sep-14-2021,Sep
s77,TV Show,Yowamushi Pedal,"September 14, 2021",2013,TV-14,1,Season,Sep-14-2021,Sep
s78,Movie,Little Singham - Black Shadow,"September 11, 2021",2021,TV-Y7,48,min,Sep-11-2021,Sep
s79,Movie,Tughlaq Durbar,"September 11, 2021",2020,TV-14,145,min,Sep-11-2021,Sep
s80,Movie,Tughlaq Durbar (Telugu),"September 11, 2021",2021,TV-14,145,min,Sep-11-2021,Sep
s81,Movie,Firedrake the Silver Dragon,"September 10, 2021",2021,TV-Y7,93,min,Sep-10-2021,Sep
s82,Movie,Kate,"September 10, 2021",2021,R,106,min,Sep-10-2021,Sep
s83,TV Show,Lucifer,"September 10, 2021",2021,TV-14,6,Seasons,Sep-10-2021,Sep
s84,TV Show,Metal Shop Masters,"September 10, 2021",2021,TV-MA,1,Season,Sep-10-2021,Sep
s85,Movie,Omo Ghetto: the Saga,"September 10, 2021",2020,TV-MA,147,min,Sep-10-2021,Sep
s86,TV Show,Pokémon Master Journeys: The Series,"September 10, 2021",2021,TV-Y7,1,Season,Sep-10-2021,Sep
s87,Movie,Prey,"September 10, 2021",2021,TV-MA,87,min,Sep-10-2021,Sep
s88,TV Show,Titipo Titipo,"September 10, 2021",2019,TV-Y,2,Seasons,Sep-10-2021,Sep
s89,Movie,Blood Brothers: Malcolm X & Muhammad Ali,"September 9, 2021",2021,PG-13,96,min,Sep-09-2021,Sep
